start,end,length,mean_score,max_score
9775,9781,6,0.1003599464893341,0.14613690972328186
9854,9862,8,0.09138121455907822,0.17383888363838196
9701,9707,6,0.07874783873558044,0.17017462849617004
9895,9901,6,0.07671790570020676,0.16086304187774658
9954,9961,7,0.07383515685796738,0.11212266981601715
9953,9963,10,0.07381155341863632,0.14572961628437042
9721,9727,6,0.07315444201231003,0.1788029819726944
9881,9887,6,0.07150671631097794,0.15510551631450653
10039,10047,8,0.07093392312526703,0.12663006782531738
9907,9913,6,0.07081932574510574,0.16387231647968292
9690,9697,7,0.07081522047519684,0.15680409967899323
18712,18718,6,0.06985413283109665,0.17420043051242828
9717,9723,6,0.06973936408758163,0.16346104443073273
9720,9726,6,0.06919725984334946,0.15056835114955902
10157,10163,6,0.06753987818956375,0.15819533169269562
9820,9826,6,0.06736407428979874,0.11398337781429291
10134,10140,6,0.06512925773859024,0.10785111784934998
9999,10005,6,0.06409480422735214,0.10809545964002609
10195,10201,6,0.06373792886734009,0.1280899941921234
9753,9759,6,0.06306939572095871,0.10856851190328598
10211,10218,7,0.06284742802381516,0.14075788855552673
19828,19834,6,0.06284458190202713,0.1200905591249466
10280,10286,6,0.06243167445063591,0.131302148103714
9684,9690,6,0.062373194843530655,0.13813194632530212
9742,9748,6,0.0616045743227005,0.10058283805847168
10194,10201,7,0.06047377362847328,0.11728262901306152
10050,10056,6,0.06044476106762886,0.09950225055217743
9953,9960,7,0.059844277799129486,0.12858635187149048
9840,9847,7,0.05875382944941521,0.12752653658390045
10291,10298,7,0.05837089940905571,0.14055955410003662
9810,9819,9,0.05821862444281578,0.09885166585445404
9944,9950,6,0.05784490332007408,0.17024141550064087
9731,9738,7,0.05752885714173317,0.11687806993722916
10210,10219,9,0.05710269510746002,0.1312257945537567
9673,9683,10,0.05676429718732834,0.1657039225101471
10069,10077,8,0.05666310340166092,0.11609838902950287
9785,9792,7,0.056462835520505905,0.11397205293178558
19940,19947,7,0.05646078661084175,0.10074645280838013
5696,5702,6,0.05642645061016083,0.10476286709308624
9972,9979,7,0.056081466376781464,0.11279776692390442
9701,9713,12,0.05600295588374138,0.11634692549705505
9925,9931,6,0.05591939762234688,0.101346954703331
9850,9856,6,0.055556584149599075,0.07936285436153412
9783,9790,7,0.05539638176560402,0.0961841568350792
9968,9974,6,0.055237215012311935,0.08189602196216583
10161,10169,8,0.05489494651556015,0.10540598630905151
9889,9898,9,0.05483923479914665,0.09195732325315475
9800,9807,7,0.05462602525949478,0.10816884785890579
9688,9694,6,0.054507315158843994,0.08689644932746887
9996,10003,7,0.054493870586156845,0.10485018789768219
9888,9894,6,0.054271843284368515,0.12379968166351318
9912,9918,6,0.05425659194588661,0.08530298620462418
9839,9845,6,0.054085906594991684,0.11822015792131424
9955,9963,8,0.0539216622710228,0.09336958080530167
10005,10011,6,0.05368652567267418,0.10228484869003296
9758,9765,7,0.05353672057390213,0.09779500216245651
10119,10125,6,0.05345277115702629,0.09484589099884033
10271,10277,6,0.05327482894062996,0.09198721498250961
9705,9711,6,0.0526815764605999,0.08206317573785782
10046,10053,7,0.05261053517460823,0.1116141825914383
9816,9822,6,0.0525643415749073,0.11030178517103195
9828,9834,6,0.0522463284432888,0.13016535341739655
9739,9746,7,0.05219665542244911,0.09580384194850922
10042,10048,6,0.05210699513554573,0.09675858914852142
9905,9913,8,0.05185340717434883,0.12086036801338196
9871,9881,10,0.051735084503889084,0.15734604001045227
10097,10103,6,0.051700592041015625,0.08942300826311111
10054,10061,7,0.051694389432668686,0.08740852773189545
9902,9909,7,0.05164962261915207,0.08634261041879654
9938,9944,6,0.051629554480314255,0.08844482898712158
9731,9738,7,0.05142132565379143,0.08438914269208908
9963,9969,6,0.0510127954185009,0.14249417185783386
9762,9768,6,0.05086598917841911,0.10151033103466034
10131,10138,7,0.05005476623773575,0.11138825118541718
9851,9858,7,0.049788858741521835,0.08191963285207748
10271,10279,8,0.0496739000082016,0.12577104568481445
9933,9941,8,0.04957248643040657,0.08463343232870102
9972,9978,6,0.04934574291110039,0.09693710505962372
9838,9846,8,0.04917321354150772,0.07210923731327057
10064,10074,10,0.04905695468187332,0.09357163310050964
10253,10260,7,0.049003809690475464,0.1193920373916626
10026,10033,7,0.048973582684993744,0.10333119332790375
9884,9890,6,0.04894794523715973,0.10660319030284882
9824,9834,10,0.04880913719534874,0.15896816551685333
10183,10190,7,0.04868755489587784,0.0999283492565155
10155,10162,7,0.048606421798467636,0.08002622425556183
9688,9695,7,0.048318274319171906,0.10792755335569382
10193,10203,10,0.04812421277165413,0.08067832887172699
9694,9703,9,0.04805426672101021,0.10502654314041138
10167,10173,6,0.04805094376206398,0.0870208740234375
10195,10207,12,0.04797695577144623,0.10073146224021912
9761,9769,8,0.047850966453552246,0.09667909145355225
9823,9829,6,0.04782155156135559,0.08168116211891174
10221,10228,7,0.04782097414135933,0.0827239528298378
10069,10076,7,0.047815464437007904,0.11390796303749084
10095,10102,7,0.04764360189437866,0.08315026015043259
9852,9860,8,0.04759455844759941,0.09982039034366608
9767,9775,8,0.04757976159453392,0.08637938648462296
9856,9862,6,0.04749206826090813,0.08603731542825699
10070,10076,6,0.04719819128513336,0.08770336210727692
